month,segment_type,segment_value,predicted_revenue,lower_bound,upper_bound,actual_revenue
2018-11-01,category,bed_bath_table,150041.2060254658,112194.76450633157,188484.08361545106,
2018-12-01,category,bed_bath_table,155204.9616339548,117497.16837193306,195001.6821463666,
2019-01-01,category,bed_bath_table,160540.84242939347,124012.06720949936,199126.0024233243,
2019-02-01,category,bed_bath_table,165876.72322483215,130495.74339042912,202453.6676789277,
2017-01-01,category,health_beauty,11742.51645576208,0.0,27078.373091700858,14248.86
2017-02-01,category,health_beauty,19173.13413350985,1121.5636997123315,35183.60847761048,27708.9
2017-03-01,category,health_beauty,25884.65977527334,9614.165391779405,42520.83369971224,32140.54
2017-04-01,category,health_beauty,33315.277452964576,17165.983183200533,50671.15165538896,27564.76
2017-05-01,category,health_beauty,40506.19779157444,24050.010506625495,57928.57082377917,59197.21
2017-06-01,category,health_beauty,47936.81546949644,30525.862527004814,63370.28302309207,42462.66
2017-07-01,category,health_beauty,55127.73580082133,38426.97988624659,71818.14245352341,48759.75
2017-08-01,category,health_beauty,62558.35347493982,45932.08218459012,78818.69523228354,59667.25
2017-09-01,category,health_beauty,69988.97115461297,52476.115774895836,86761.91488767568,66840.13
2017-10-01,category,health_beauty,77179.8928482257,60463.813295771775,93406.48053647486,51836.31
2017-11-01,category,health_beauty,84610.68746367069,67171.2392954073,100765.52825282804,101356.83
2017-12-01,category,health_beauty,91802.01736196577,75450.92895529052,108546.17503301454,75805.06
2018-01-01,category,health_beauty,99233.05825714755,82538.66910437739,116605.54754046399,92201.41
2018-02-01,category,health_beauty,106664.09915663108,90428.53813216869,122156.63986215951,107881.45
2018-03-01,category,health_beauty,113376.00707187182,96503.3660244031,129849.16889869644,107440.6
2018-04-01,category,health_beauty,120807.04797791969,104365.14155428941,137043.98337623908,119457.92
2018-05-01,category,health_beauty,127998.37789323663,110402.17794970408,144088.2767779006,135334.34
2018-06-01,category,health_beauty,135429.4188057308,119547.85309872736,151036.02564313344,143591.17
2018-07-01,category,health_beauty,142620.7487210477,126846.34154945952,158370.82807480523,144430.48
2018-08-01,category,health_beauty,150051.7896335419,132559.66216624808,166534.10378393528,158063.72
2018-09-01,category,health_beauty,157482.83054603604,141359.46138269958,173521.88092727817,
2018-10-01,category,health_beauty,164674.16046135302,146800.35349001893,181664.52619128983,
2018-11-01,category,health_beauty,172105.20137384717,155777.2661970253,189725.60564346323,
2018-12-01,category,health_beauty,179296.5312891641,162235.7546448701,195862.48691198506,
2019-01-01,category,health_beauty,186727.57220165824,169421.34056870505,203542.02466592053,
2019-02-01,category,health_beauty,194158.61311415242,178941.36837481777,211289.16283745496,
2017-01-01,category,computers_accessories,38999.9172814594,0.0,103139.3867814999,6441.32
2017-02-01,category,computers_accessories,43135.80227197159,0.0,111132.13202376412,14573.609999999999
2017-03-01,category,computers_accessories,46871.4403318526,0.0,105348.42506642042,39317.07
2017-04-01,category,computers_accessories,51007.32533279248,0.0,114698.45745556652,24474.989999999998
2017-05-01,category,computers_accessories,55009.794692827105,0.0,118728.81257835584,81820.48
2017-06-01,category,computers_accessories,59145.67968971847,0.0,124136.62967012603,57930.72
2017-07-01,category,computers_accessories,63148.14904200092,0.0,130240.62547769776,71173.92
2017-08-01,category,computers_accessories,67284.03403470363,2088.3714410246484,134608.8774405675,60087.93
2017-09-01,category,computers_accessories,71419.91903431015,3888.0944692778276,138536.58489199454,60002.7
2017-10-01,category,computers_accessories,75422.38838480542,8961.002491738138,140789.05583762663,85911.74
2017-11-01,category,computers_accessories,79558.27337344245,18638.589379609166,139726.84257032388,125027.69
2017-12-01,category,computers_accessories,83560.74271327033,13379.969090707458,153209.09473816343,55297.56
2018-01-01,category,computers_accessories,87696.62761226897,21878.142727817856,151719.64997005704,145048.51
2018-02-01,category,computers_accessories,91832.51250495491,28475.19142701281,158749.7421510195,205756.18
2018-03-01,category,computers_accessories,95568.15046976079,28204.5164922105,157203.71403696746,141861.53
2018-04-01,category,computers_accessories,99704.0353639117,36483.58214642701,161170.491181756,88007.33
2018-05-01,category,computers_accessories,103706.50462273989,36817.67695527883,167438.92208340703,95742.82
2018-06-01,category,computers_accessories,107842.38952352903,39358.54003015787,169964.60963138595,69254.01
2018-07-01,category,computers_accessories,111844.85878235722,46056.96940785785,173002.55537560707,61313.92
2018-08-01,category,computers_accessories,115980.74368314637,48215.54939994639,183079.68932156818,59466.72
2018-09-01,category,computers_accessories,120116.62858393551,54131.56566962032,183605.37242386682,
2018-10-01,category,computers_accessories,124119.0978427637,54197.16620253757,190698.9596842755,
2018-11-01,category,computers_accessories,128254.98274355286,63594.69477906118,193396.82173550123,
2018-12-01,category,computers_accessories,132257.45200238106,67597.77333289033,202136.99173736235,
2019-01-01,category,computers_accessories,136393.3369031702,68651.16731569178,198622.34747432297,
2019-02-01,category,computers_accessories,140529.22180395934,79603.83102231286,205365.00204200897,
2017-01-01,category,furniture_decor,31916.5201948,0.0,70807.63000272126,27284.98
2017-02-01,category,furniture_decor,35935.838554438036,0.0,73561.04344479462,34560.23
2017-03-01,category,furniture_decor,39566.190622393144,125.07522109501457,80060.58183769499,39297.76
2017-04-01,category,furniture_decor,43585.50898357625,1775.8961041807872,83128.56665904126,32258.09
2017-05-01,category,furniture_decor,47475.171912372825,7249.929610764066,87677.97881711561,38799.15
2017-06-01,category,furniture_decor,51494.490271103925,13272.28173733508,91090.71043435752,39434.590000000004
2017-07-01,category,furniture_decor,55384.15319928796,17076.52463162842,95032.34852595186,46223.08
2017-08-01,category,furniture_decor,59403.47155973852,19387.27388005274,99761.5782173317,65993.12
2017-09-01,category,furniture_decor,63422.78991921553,25183.66505697842,102837.93267728333,53143.54
2017-10-01,category,furniture_decor,67312.45284780982,30412.317910878417,109577.17462721428,63830.98
2017-11-01,category,furniture_decor,71331.77120500355,34726.17425004863,109008.77010733775,153085.0
2017-12-01,category,furniture_decor,75221.4341322285,34179.87305716669,115161.0293700127,55153.97
2018-01-01,category,furniture_decor,79240.75248923825,39929.80812588065,117062.54744192958,98050.93
2018-02-01,category,furniture_decor,83260.0708453465,43567.390246509814,124401.63476130563,64442.39
2018-03-01,category,furniture_decor,86890.42290959645,47511.99799315403,126832.68609581573,123172.9
2018-04-01,category,furniture_decor,90909.74126707454,51477.858304279434,130327.53778647153,104412.02
2018-05-01,category,furniture_decor,94799.40419328492,56964.11680456071,137519.35399063805,101114.46
2018-06-01,category,furniture_decor,98818.72255036901,58944.3013914597,138053.46846867015,74444.01
2018-07-01,category,furniture_decor,102708.38547657944,62985.17366397175,140520.36641780075,87132.08
2018-08-01,category,furniture_decor,106727.70383366353,68357.02021442878,142827.7707037383,81934.04
2018-09-01,category,furniture_decor,110747.0221907476,71376.13785916811,150010.19279952577,
2018-10-01,category,furniture_decor,114636.68511695802,75865.1341392764,153251.44795105656,
2018-11-01,category,furniture_decor,118656.00347404208,81369.5577449132,157956.2519407882,
2018-12-01,category,furniture_decor,122545.6664002525,80917.43312509285,159915.94809268665,
2019-01-01,category,furniture_decor,126564.98475733658,87693.71925789327,165287.16015023808,
2019-02-01,category,furniture_decor,130584.30311442068,91630.58736034605,169918.89347446288,
2017-01-01,category,watches_gifts,13496.563196373012,0.0,41033.641129770105,8310.83
2017-02-01,category,watches_gifts,19488.86133313635,0.0,48680.18237463683,11632.12
2017-03-01,category,watches_gifts,24901.259649968495,0.0,53119.09198561787,27451.91
2017-04-01,category,watches_gifts,30893.557786425685,1477.5030312017195,64102.96291958878,26517.06
2017-05-01,category,watches_gifts,36692.55598272239,4672.284096394774,65711.77635474628,43584.3
2017-06-01,category,watches_gifts,42684.85411958407,12038.427698884781,71435.02018577873,30261.97
2017-07-01,category,watches_gifts,48483.85231612709,17532.240867150434,78207.96803688766,38693.5
2017-08-01,category,watches_gifts,54476.150452145506,24658.594497054837,83886.51639415167,42439.32
2017-09-01,category,watches_gifts,60468.448588747306,32172.921547852187,90745.87139202193,55893.27
2017-10-01,category,watches_gifts,66267.44678576046,36386.30534187986,94500.64640336034,76789.9
2017-11-01,category,watches_gifts,72259.74492195743,41497.61642713111,103106.3343448647,112415.29
2017-12-01,category,watches_gifts,78058.7431177614,48111.46824481164,107284.58650086302,78478.54
2018-01-01,category,watches_gifts,84051.04125293896,53105.80521953088,115814.95498843024,101409.49
2018-02-01,category,watches_gifts,90043.33938718229,59562.720229228755,119833.23958331528,71552.65
2018-03-01,category,watches_gifts,95455.73770229185,63312.29659066302,123521.14559148368,109216.17
2018-04-01,category,watches_gifts,101448.03583601705,70187.2523168857,130989.97016423449,106336.85
2018-05-01,category,watches_gifts,107247.03402966684,76948.37131512222,138148.55957650632,145869.23
2018-06-01,category,watches_gifts,113239.33216310496,83877.46050955016,144008.01421429656,105922.17
2018-07-01,category,watches_gifts,119038.33035675474,88199.39416257449,148004.01424938947,109159.53
2018-08-01,category,watches_gifts,125030.62849019286,94639.87861623084,153723.47566339796,82634.64
2018-09-01,category,watches_gifts,131022.92662363098,102486.7995940756,160316.11155069937,
2018-10-01,category,watches_gifts,136821.92481728076,106608.18437194529,165943.98880188493,
2018-11-01,category,watches_gifts,142814.2229507189,113948.60236945018,172370.02083226686,
2018-12-01,category,watches_gifts,148613.22114436867,118379.66587392299,177515.24106968334,
2019-01-01,category,watches_gifts,154605.51927780677,123730.35969574295,184294.56679450296,
2019-02-01,category,watches_gifts,160597.8174112449,130383.0272122041,189912.31805857527,
2017-01-01,region,SP,109129.62887782889,8567.42578283208,214483.81700737233,63989.58
2017-02-01,region,SP,137124.56928498624,39446.438796397815,242445.14290628475,97767.39
2017-03-01,region,SP,162410.3219006216,63933.6923590442,264729.2302483526,178458.98
2017-04-01,region,SP,190405.2623236901,91994.23104771922,282121.6388076809,157909.94
2017-05-01,region,SP,217497.14016288382,115016.75544269424,320224.69841245614,246546.01
2017-06-01,region,SP,245492.0805418786,146782.33902880567,346480.6190359817,226228.93
2017-07-01,region,SP,272583.9583397516,169547.64252921232,373077.82070102287,260093.14
2017-08-01,region,SP,300578.8987479413,193789.99839720142,395492.33162431436,272763.39
2017-09-01,region,SP,328573.83910366485,226872.4114228576,424396.13863655075,311109.85
2017-10-01,region,SP,355665.71680412407,252515.04774104286,450281.6711361451,353444.46
2017-11-01,region,SP,383660.6570900638,286713.2785432665,488375.5045093198,519905.7
2017-12-01,region,SP,410752.5318699695,307603.9299666355,510688.79400773346,389414.68
2018-01-01,region,SP,438747.46913355193,337796.0709672341,541803.6118678397,537905.38
2018-02-01,region,SP,466742.4063972007,359393.7435999632,566808.7705047575,487742.06
2018-03-01,region,SP,492028.1561189943,395902.3398178031,592682.1464821635,556811.45
2018-04-01,region,SP,520023.0932736505,414235.35343032255,621762.6142783077,569247.21
2018-05-01,region,SP,547114.9679425972,446281.63074857375,642149.6224494241,615283.57
2018-06-01,region,SP,575109.9051005087,471715.0993230941,682190.6464058288,517012.43
2018-07-01,region,SP,602201.7797694554,503645.37042195135,698053.3580584509,471593.87
2018-08-01,region,SP,630196.716927367,532184.9720233192,727602.3185216786,553914.59
2018-09-01,region,SP,658191.6540852786,553165.4993530515,762032.8714161594,
2018-10-01,region,SP,685283.5287542253,587294.4962376888,783516.2628049735,
2018-11-01,region,SP,713278.4659121367,612077.3520016598,812968.9762744791,
2018-12-01,region,SP,740370.3405810836,650469.9858647079,847449.4014657129,
2019-01-01,region,SP,768365.277738995,666389.9698841834,873407.324472833,
2019-02-01,region,SP,796360.2148969067,694222.1804822297,901940.5487870746,
2017-01-01,region,RJ,68308.355437856,2951.7457254732367,135947.81646649216,16267.25
2017-02-01,region,RJ,75368.42847524701,8583.561214007039,138977.4367046707,47345.83
2017-03-01,region,RJ,81745.26863550174,21068.64253741453,150777.2210381387,70698.1
2017-04-01,region,RJ,88805.3416696803,23523.6874783126,161616.38345022546,72091.7
2017-05-01,region,RJ,95637.67041666216,30517.0282276863,160803.08567700905,100438.87
2017-06-01,region,RJ,102697.74345862187,35258.953959975246,171713.53146285494,69079.61
2017-07-01,region,RJ,109530.0722125282,39371.282392855705,173664.9488035983,112369.81
2017-08-01,region,RJ,116590.14525308862,48181.40018017814,176731.49557645922,108784.84
2017-09-01,region,RJ,123650.2182925552,61946.982136272556,188951.96194638318,222262.86
2017-10-01,region,RJ,130482.54703587675,66586.20812982347,200265.9437782862,142349.55
2017-11-01,region,RJ,137542.6200704907,65478.62389240816,205276.90096956032,228023.48
2017-12-01,region,RJ,144374.9488094959,77875.94391649352,211777.68440608928,156334.51
2018-01-01,region,RJ,151435.0218373709,82151.4467256383,219009.00334388774,170746.56
2018-02-01,region,RJ,158495.09486576164,91925.84226930908,225159.79346116312,165862.89
2018-03-01,region,RJ,164871.93502119914,93858.00540141575,236263.46979844157,175541.95
2018-04-01,region,RJ,171931.994944816,105170.67976411025,244609.73531174363,208417.05
2018-05-01,region,RJ,178764.31099761932,114709.23352985409,242163.4905562453,190372.89
2018-06-01,region,RJ,185824.37091884942,115351.7948211289,251442.1656666215,147822.55
2018-07-01,region,RJ,192656.68697165273,127858.38539794,260044.82267876953,147865.8
2018-08-01,region,RJ,199716.74689288283,131105.63807793963,268426.0595157538,125942.06999999999
2018-09-01,region,RJ,206776.80681411293,134155.34160477208,272962.90228385205,
2018-10-01,region,RJ,213609.12286691624,146846.3670625869,276601.65231459186,
2018-11-01,region,RJ,220669.18278814634,155684.5753355182,289818.18911959644,
2018-12-01,region,RJ,227501.49884094967,152039.03965130268,294744.37941109895,
2019-01-01,region,RJ,234561.55876217975,166572.58862750334,294916.6696140282,
2019-02-01,region,RJ,241621.61868340985,173307.27301927362,307007.40802303795,
2017-01-01,region,MG,47589.287764826506,0.0,101445.10151901035,25917.09
2017-02-01,region,MG,54716.49899549134,1639.706727605532,103715.6587799422,41336.35
2017-03-01,region,MG,61153.98010666165,11482.775474816162,112925.64722834666,61904.83
2017-04-01,region,MG,68281.19132069164,14967.316108747611,117578.98857207155,58363.09
2017-05-01,region,MG,75178.49247735435,25254.738973069092,128597.10750734055,64739.16
2017-06-01,region,MG,82305.70367254266,33033.92864066037,136129.9155178199,62071.01
2017-07-01,region,MG,89203.0048252486,37182.35568995949,139599.01168038807,79990.87
2017-08-01,region,MG,96330.2159982019,46298.725519762156,145882.07325770764,82732.46
2017-09-01,region,MG,103457.42717083372,50554.96582947481,156234.8686629678,112268.57
2017-10-01,region,MG,110354.71043512278,60260.271707841384,162009.67127794595,113414.33
2017-11-01,region,MG,117481.90312539606,68809.92745106338,170328.28092882503,225851.45
2017-12-01,region,MG,124379.18637927037,76925.5714634269,172985.47193614047,130041.59
2018-01-01,region,MG,131506.3790852092,82192.67687780144,178921.5444578422,169666.08
2018-02-01,region,MG,138633.5717999435,86453.91811905288,192931.838236432,148015.59
2018-03-01,region,MG,145071.03617242465,94902.12797202321,196280.2496057426,159443.39
2018-04-01,region,MG,152198.22887465547,103192.05748691502,204842.27090646807,157975.66
2018-05-01,region,MG,159095.51214342646,109694.18477035151,210486.4748429808,167392.78
2018-06-01,region,MG,166222.7048544898,116018.42262748105,218930.52382927624,152814.86000000002
2018-07-01,region,MG,173119.9881232608,122479.3355193259,225752.12838821934,129369.82
2018-08-01,region,MG,180247.18083432416,126716.3195556283,228473.67966300936,132464.3
2018-09-01,region,MG,187374.3735453875,135384.26836347516,236062.24782980487,
2018-10-01,region,MG,194271.65681415852,148815.11872771176,246291.9112413043,
2018-11-01,region,MG,201398.84952522186,151070.12932055062,253911.10825484397,
2018-12-01,region,MG,208296.13279399285,156423.8114856054,261593.7971715925,
2019-01-01,region,MG,215423.3255050562,165702.87102711663,263955.42314339516,
2019-02-01,region,MG,222550.51821611956,172579.11671152798,277996.7031082202,
2017-01-01,region,RS,23553.077210325,3240.7312400585483,44020.426486456236,15056.0
2017-02-01,region,RS,26980.212367766777,7979.1532126862,46821.898379200255,19344.9
2017-03-01,region,RS,30075.689076047987,9378.185000240952,50798.99151369945,26850.71
2017-04-01,region,RS,33502.82374480101,14197.947246107247,52879.41097476566,21546.0
2017-05-01,region,RS,36819.40610465709,16935.53240293822,56540.379892101664,38155.76
2017-06-01,region,RS,40246.54144611661,22252.650003775303,60407.11193625885,42377.13
2017-07-01,region,RS,43563.123918296944,24770.749964578008,63594.765273540484,40556.94
2017-08-01,region,RS,46990.25939616612,27362.793834459368,67140.10650716876,47194.54
2017-09-01,region,RS,50417.39470615021,30059.606252107435,70949.96029246574,52186.84
2017-10-01,region,RS,53733.976832542096,35079.96711990931,74341.99836099274,72689.37
2017-11-01,region,RS,57161.11183160709,37261.677054122556,76013.57371595797,92161.26
2017-12-01,region,RS,60477.68680373687,40312.58430529056,81915.82551778562,57433.659999999996
2018-01-01,region,RS,63904.814210929515,43977.51501979771,80984.09420232089,66381.66
2018-02-01,region,RS,67331.94142720707,47552.69030136236,86579.71190111054,71759.4
2018-03-01,region,RS,70427.41084642064,50833.7841899442,89960.57450835138,78820.99
2018-04-01,region,RS,73854.53799179861,54146.81379072,93176.77951794569,70225.35
2018-05-01,region,RS,77171.11292594139,57243.963338899324,96159.60128446485,84512.41
2018-06-01,region,RS,80598.24035788892,60697.91237872193,100895.70439383283,60509.24
2018-07-01,region,RS,83914.81529203168,64186.40991090312,102760.12216236157,63277.409999999996
2018-08-01,region,RS,87341.9427239792,67723.2895652524,105735.99787871653,87038.79000000001
2018-09-01,region,RS,90769.07015592672,72367.70661662308,110663.02054280076,
2018-10-01,region,RS,94085.6450900695,73958.59689131677,112477.58760029636,
2018-11-01,region,RS,97512.77252201703,77264.60830475112,117363.5540537234,
2018-12-01,region,RS,100829.34745615978,82960.24687371163,121133.53880827369,
2019-01-01,region,RS,104256.47488810732,83121.75492128945,123466.6801519528,
2019-02-01,region,RS,107683.60232005484,87714.12013038086,127510.04551838519,
2017-01-01,region,PR,21937.2963072256,0.0,48271.403675934256,7503.88
2017-02-01,region,PR,25083.407488882312,0.0,50786.3785318934,29214.85
2017-03-01,region,PR,27925.05629965551,1760.282420024781,53826.72719786225,20107.66
2017-04-01,region,PR,31071.16748560697,4106.843809601334,55465.282916233205,23495.14
2017-05-01,region,PR,34115.7912139196,6265.509316137517,60911.56600617005,46813.53
2017-06-01,region,PR,37261.90239799842,10188.034106295392,62822.946267072,34717.21
2017-07-01,region,PR,40306.52612778413,13136.327670951134,66855.83086243435,34884.71
2017-08-01,region,PR,43452.63731496873,18190.63947502204,71385.77168849103,41660.34
2017-09-01,region,PR,46598.74850575339,19837.907237064755,74492.65836300184,38971.89
2017-10-01,region,PR,49643.3722361722,23072.560037651005,76431.07891709788,48734.8
2017-11-01,region,PR,52789.483426673716,26491.714050300354,77511.32674888581,87835.37
2017-12-01,region,PR,55834.107156135724,28315.362530927465,82223.57897298562,39806.79
2018-01-01,region,PR,58980.218344081324,32444.21267477003,84845.24005920519,82470.72
2018-02-01,region,PR,62126.329529865514,37408.09077449169,87560.92740383928,61088.95
2018-03-01,region,PR,64967.978339057874,39762.296894731204,89093.70392772673,73267.94
2018-04-01,region,PR,68114.08952307947,40201.62347950519,93872.01684011443,105713.84
2018-05-01,region,PR,71158.71324733719,44819.75438181415,96080.84977288362,69006.59
2018-06-01,region,PR,74304.82442907016,47136.17445284674,100972.22729041312,58725.83
2018-07-01,region,PR,77349.44815332787,51630.1607011583,103714.08829702756,66134.54
2018-08-01,region,PR,80495.55933506085,52437.8898249099,103986.87677720518,54692.78
2018-09-01,region,PR,83641.67051679382,56209.410859452895,112142.33800438345,
2018-10-01,region,PR,86686.29424105154,61100.33669219327,112054.11839937276,
2018-11-01,region,PR,89832.40542278452,60946.72652322594,115516.64697212144,
2018-12-01,region,PR,92877.02914704222,65666.47948672564,118695.36589624734,
2019-01-01,region,PR,96023.1403287752,72434.64144652264,122181.48629279551,
2019-02-01,region,PR,99169.25151050817,72875.58882300151,126967.67921236501,
